state,date,cum_cases,cum_deaths
Oklahoma,2020-05-23,5960,311
Pennsylvania,2020-05-23,71102,5121
Wyoming,2020-05-23,1626,24
Idaho,2020-05-24,2650,79
New Jersey,2020-05-24,154154,11133
South Dakota,2020-05-24,4563,50
Virginia,2020-05-24,36244,1171
Kentucky,2020-05-25,8899,403
Nebraska,2020-05-25,12355,155
Colorado,2020-05-26,24553,1352
Delaware,2020-05-26,9066,335
District of Columbia,2020-05-26,8334,440
New Jersey,2020-05-26,155764,11191
Ohio,2020-05-26,33006,2002
Puerto Rico,2020-05-26,3324,129
Iowa,2020-05-27,18446,496
Puerto Rico,2020-05-27,3397,129
Utah,2020-05-27,8710,105
Virginia,2020-05-27,40249,1281
North Carolina,2020-05-28,25616,859
District of Columbia,2020-05-29,8538,460
Ohio,2020-05-29,34566,2131
Wisconsin,2020-05-29,17784,569
Pennsylvania,2020-05-30,75789,5537
California,2020-05-31,113114,4242
Delaware,2020-05-31,9498,366
Indiana,2020-05-31,35429,2134
South Dakota,2020-05-31,4993,62
Alaska,2020-06-01,476,8
Illinois,2020-06-01,121666,5458
Maryland,2020-06-01,54035,2552
North Carolina,2020-06-01,29368,923
Rhode Island,2020-06-01,14991,720
District of Columbia,2020-06-02,8886,470
Arkansas,2020-06-03,8067,142
District of Columbia,2020-06-03,9016,473
Pennsylvania,2020-06-03,77871,5742
Wisconsin,2020-06-03,19614,618
Georgia,2020-06-04,47528,2116
Indiana,2020-06-04,74010,3435
Massachusetts,2020-06-05,102557,7235
Oregon,2020-06-05,4580,161
Idaho,2020-06-06,3139,83
Oklahoma,2020-06-06,7060,347
Arizona,2020-06-07,26924,1048
Georgia,2020-06-07,49371,2148
New York,2020-06-07,382879,30183
Vermont,2020-06-07,1063,55
West Virginia,2020-06-07,2144,84
Connecticut,2020-06-08,44092,4084
Guam,2020-06-08,3447,18
Vermont,2020-06-09,1084,55
District of Columbia,2020-06-10,9537,499
Maryland,2020-06-10,60114,2844
Missouri,2020-06-10,15662,861
Washington,2020-06-10,25940,1183
Arizona,2020-06-11,31525,1130
Massachusetts,2020-06-11,104667,7492
Nebraska,2020-06-11,16315,217
Oregon,2020-06-11,5248,171
California,2020-06-12,147285,4986
Missouri,2020-06-12,16111,884
North Dakota,2020-06-12,3019,77
Alaska,2020-06-13,722,10
Mississippi,2020-06-13,19348,889
South Dakota,2020-06-13,5833,75
Ohio,2020-06-14,41148,2557
Tennessee,2020-06-14,30174,467
Virginia,2020-06-14,54506,1546
Michigan,2020-06-15,66302,6025
Rhode Island,2020-06-15,16093,851
South Carolina,2020-06-15,19381,602
Virginia,2020-06-15,54886,1552
Arkansas,2020-06-16,13191,188
Connecticut,2020-06-16,45349,4210
Oregon,2020-06-16,6105,182
New Mexico,2020-06-17,10065,452
Puerto Rico,2020-06-17,6003,147
Georgia,2020-06-18,58040,2565
Nebraska,2020-06-18,17415,244
Oklahoma,2020-06-18,9354,366
Texas,2020-06-19,107322,2168
West Virginia,2020-06-19,2468,88
Georgia,2020-06-20,60669,2602
Massachusetts,2020-06-20,106936,7827
Nevada,2020-06-20,12977,486
New Jersey,2020-06-20,168834,12857
Kansas,2020-06-21,12258,258
North Carolina,2020-06-21,52854,1245
Tennessee,2020-06-21,34719,519
California,2020-06-22,184620,5561
Kentucky,2020-06-22,14073,549
Louisiana,2020-06-22,50352,3117
Maryland,2020-06-22,65202,3074
Utah,2020-06-22,18035,158
