World,"6,499,359","58,077","383,897","2,038","3,094,473","3,020,989","54,489",834,49.3,,,,
53,Bolivia,"10,991",460,376,33,"1,298","9,317",3,943,32,"28,239","2,422","11,660,175"
54,Nigeria,"10,819",,314,,"3,240","7,265",7,53,2,"69,801",339,"205,696,187"
55,Armenia,"10,524",515,170,12,"3,454","6,900",10,"3,552",57,"61,650","20,808","2,962,831"
56,Algeria,"9,626",,667,,"6,067","2,892",25,220,15,,,"43,785,268"
57,Czechia,"9,374",10,323,,"6,693","2,358",12,875,30,"454,397","42,437","10,707,502"
58,Moldova,"8,795",247,310,3,"4,863","3,622",248,"2,180",77,"57,003","14,128","4,034,641"
59,Ghana,"8,548",251,38,,"3,132","5,378",3,276,1,"218,425","7,042","31,018,059"
60,Norway,"8,467",12,237,,"7,727",503,6,"1,563",44,"250,968","46,322","5,417,952"
61,Iraq,"8,168",781,256,21,"4,095","3,817",46,203,6,"238,251","5,935","40,145,341"
62,Malaysia,"7,970",93,115,,"6,531","1,324",6,246,4,"560,738","17,343","32,332,728"
63,Morocco,"7,910",44,206,,"6,643","1,061",13,215,6,"243,272","6,597","36,875,683"
64,Australia,"7,229",8,102,,"6,640",487,5,284,4,"1,512,700","59,377","25,476,337"
65,Finland,"6,911",24,321,1,"5,500","1,090",7,"1,247",58,"192,800","34,801","5,540,080"
66,Cameroon,"6,585",,200,,"3,676","2,709",28,249,8,,,"26,488,477"
67,Azerbaijan,"6,260",325,76,5,"3,665","2,519",42,618,8,"315,527","31,142","10,132,029"
68,Guatemala,"5,586",250,123,7,824,"4,639",5,312,7,"31,427","1,757","17,887,959"
69,Honduras,"5,527",165,225,8,563,"4,739",13,559,23,"14,790","1,495","9,891,706"
70,Sudan,"5,310",,307,,"1,625","3,378",,121,7,401,9,"43,761,230"
71,Tajikistan,"4,191",91,48,1,"2,347","1,796",,440,5,,,"9,519,331"
72,Luxembourg,"4,020",,110,,"3,848",62,4,"6,431",176,"78,026","124,813","625,142"
73,Djibouti,"3,935",156,26,1,"1,636","2,273",,"3,987",26,"30,394","30,800","986,834"
74,Senegal,"3,932",96,45,2,"2,063","1,824",17,235,3,"46,288","2,771","16,705,246"
75,Hungary,"3,931",10,534,2,"2,190","1,207",24,407,55,"191,572","19,827","9,662,122"
76,Guinea,"3,886",,23,,"2,267","1,596",24,297,2,"14,407","1,100","13,101,411"
77,Uzbekistan,"3,815",55,15,,"3,014",786,11,114,0.4,"460,000","13,760","33,429,848"
78,DRC,"3,495",169,75,3,492,"2,928",,39,0.8,,,"89,316,439"
79,Thailand,"3,084",1,58,,"2,968",58,1,44,0.8,"420,529","6,026","69,786,876"
80,Ivory Coast,"3,024",,33,,"1,501","1,490",,115,1,"28,120","1,068","26,321,594"
81,Greece,"2,937",,179,,"1,374","1,384",11,282,17,"185,590","17,800","10,426,670"
82,Gabon,"2,803",,20,,779,"2,004",15,"1,262",9,"14,122","6,358","2,221,211"
83,El Salvador,"2,705",52,49,3,"1,179","1,477",51,417,8,"96,647","14,906","6,483,714"
84,Bulgaria,"2,560",22,146,2,"1,206","1,208",9,368,21,"84,261","12,120","6,952,090"
85,Bosnia and Herzegovina,"2,551",16,157,,"1,939",455,4,777,48,"67,952","20,703","3,282,255"
86,Haiti,"2,507",281,48,3,24,"2,435",,220,4,"5,562",488,"11,391,422"
87,North Macedonia,"2,492",101,145,4,"1,605",742,34,"1,196",70,"32,161","15,437","2,083,380"
88,Nepal,"2,300",201,9,1,278,"2,013",,79,0.3,"200,646","6,897","29,093,297"
89,Croatia,"2,246",,103,,"2,095",48,4,547,25,"67,814","16,512","4,107,049"
90,Kenya,"2,216",123,74,3,553,"1,589",7,41,1,"85,058","1,585","53,670,324"
91,Somalia,"2,146",57,79,,406,"1,661",2,135,5,,,"15,853,963"
